Date,Natural Gas Price,Crude Oil Price,US Dollar Index,GDP,Natural Gas Production,Net Imports,Natural Gas Consumption,US total natural gas proved reserves (trillion cubic feet)
2000-09-01,5.186,30.84,113.25,10247.72,15.68345,2.7979700000000003,16.15904,186.51
2000-10-01,4.49,32.7,116.65,10318.165,16.20073,3.02739,16.711579999999998,186.51
2000-11-01,6.589,33.82,115.24,10318.165,16.3232,2.97532,18.13262,186.51
2000-12-01,9.775,26.8,109.56,10318.165,15.79598,2.8427499999999997,15.63151,186.51
2001-01-01,5.707,28.66,110.52,10435.744,16.6199,3.01457,16.100540000000002,186.51
2001-02-01,5.236,27.39,112.01,10435.744,15.81133,3.04993,19.28879,186.51
2001-03-01,5.025,26.29,117.37,10435.744,16.32066,3.48804,26.086750000000002,186.51
2001-04-01,4.695,28.46,115.85,10470.231,16.71928,3.4753100000000003,26.76998,186.51
2001-05-01,3.914,28.37,119.07,10470.231,15.09163,3.0140800000000003,23.09464,186.51
2001-06-01,3.096,26.25,119.43,10470.231,16.84817,3.2598200000000004,22.46633,186.51
2001-07-01,3.296,26.35,117.18,10599.0,16.24316,2.94936,18.0717,191.743
2001-08-01,2.38,27.2,113.42,10599.0,16.81372,2.92897,15.223820000000002,191.743
2001-09-01,2.244,23.43,113.48,10599.0,16.07397,2.9286000000000003,14.44378,191.743
2001-10-01,3.291,21.18,114.86,10598.02,16.5662,3.33352,15.98071,191.743
2001-11-01,2.701,19.44,116.13,10598.02,16.56714,3.24373,16.69178,191.743
2001-12-01,2.57,19.84,116.75,10598.02,16.10366,2.8134699999999997,14.941279999999999,191.743
2002-01-01,2.138,19.48,120.24,10660.465,16.75894,2.91662,16.490730000000003,191.743
2002-02-01,2.357,21.74,119.16,10660.465,15.938640000000001,2.4920400000000003,17.0095,191.743
2002-03-01,3.283,26.31,118.62,10660.465,16.438589999999998,2.6810899999999998,21.20198,191.743
2002-04-01,3.795,27.29,115.19,10783.5,16.18892,3.08989,24.87638,191.743
2002-05-01,3.217,25.31,111.81,10783.5,14.49623,2.75534,22.424270000000003,191.743
2002-06-01,3.245,26.86,106.11,10783.5,16.1957,2.94456,22.584310000000002,191.743
2002-07-01,2.954,27.02,107.41,10887.46,15.650630000000001,2.7592200000000005,18.80985,191.743
2002-08-01,3.296,28.98,106.98,10887.46,16.28885,2.7994499999999998,16.11453,195.561
2002-09-01,4.138,30.45,106.87,10887.46,15.69228,2.73063,15.913730000000001,195.561
2002-10-01,4.156,27.22,106.64,10984.04,16.36448,2.99608,17.48435,195.561
2002-11-01,4.2,26.89,106.41,10984.04,16.03278,3.09501,17.25712,195.561
2002-12-01,4.789,31.2,101.85,10984.04,15.16304,2.89031,15.421700000000001,195.561
2003-01-01,5.605,33.51,99.91,11061.433,15.51787,3.0131799999999997,16.45873,195.561
2003-02-01,8.101,36.6,99.71,11061.433,15.555950000000001,2.75955,19.13629,195.561
2003-03-01,5.06,31.04,99.06,11061.433,16.13115,3.1590800000000003,23.78895,195.561
2003-04-01,5.385,25.8,97.19,11174.129,16.16551,3.00719,27.00545,195.561
2003-05-01,6.251,29.56,93.27,11174.129,14.69711,2.52411,25.00315,195.561
2003-06-01,5.411,30.19,94.73,11174.129,16.6298,2.72514,21.979360000000003,195.561
2003-07-01,4.718,30.54,96.89,11312.766,15.9231,2.6582299999999996,17.4353,195.561
2003-08-01,4.731,31.57,98.1,11312.766,16.259,2.76638,15.14697,195.561
2003-09-01,4.83,29.2,92.85,11312.766,15.74488,2.54955,13.683689999999999,197.145
2003-10-01,4.893,29.11,92.73,11566.669,15.9408,2.91825,16.004839999999998,197.145
2003-11-01,4.925,30.41,90.21,11566.669,16.26469,2.80666,16.5158,197.145
2003-12-01,6.189,32.52,86.92,11566.669,15.669680000000001,2.67339,14.285540000000001,197.145
2004-01-01,5.397,33.05,87.2,11772.234,16.20293,2.6869099999999997,15.53189,197.145
2004-02-01,5.416,36.16,87.31,11772.234,15.49049,2.4485400000000004,17.53642,197.145
2004-03-01,5.933,35.76,87.61,11772.234,15.997460000000002,2.87392,22.63659,197.145
2004-04-01,5.862,37.38,90.48,11923.447,15.94905,3.06172,26.75834,197.145
2004-05-01,6.442,39.88,88.95,11923.447,14.77801,2.76125,25.110970000000002,197.145
2004-06-01,6.155,37.05,88.8,11923.447,16.0517,2.5801,21.00921,197.145
2004-07-01,6.112,43.8,89.96,12112.815,15.518730000000001,2.6318900000000003,17.451710000000002,197.145
2004-08-01,5.074,42.12,88.94,12112.815,15.75675,2.6557299999999997,15.73043,197.145
2004-09-01,6.795,49.64,87.36,12112.815,15.4223,2.77707,14.83684,197.145
2004-10-01,8.725,51.76,84.91,12305.307,15.89277,3.0762,15.84933,201.20000000000002
2004-11-01,7.62,49.13,81.82,12305.307,15.755640000000001,2.92753,15.77962,201.20000000000002
2004-12-01,6.149,43.45,80.85,12305.307,14.76771,2.70181,14.8215,201.20000000000002
2005-01-01,6.321,48.2,83.6,12527.214,15.43492,2.7435899999999998,15.572239999999999,201.20000000000002
2005-02-01,6.73,51.75,82.51,12527.214,15.08532,2.82254,17.82796,201.20000000000002
2005-03-01,7.653,55.4,84.06,12527.214,15.495989999999999,3.30479,23.2773,201.20000000000002
2005-04-01,6.585,49.72,84.43,12767.286,15.57077,3.1362099999999997,25.61858,201.20000000000002
2005-05-01,6.379,51.97,87.76,12767.286,14.288969999999999,2.66919,22.429859999999998,201.20000000000002
2005-06-01,6.981,56.5,89.11,12767.286,16.092080000000003,2.8343000000000003,22.057869999999998,201.20000000000002
2005-07-01,7.885,60.57,89.35,12922.656,15.398430000000001,2.7061,17.24877,201.20000000000002
2005-08-01,11.472,68.94,87.58,12922.656,15.755740000000001,2.75053,15.226130000000001,201.20000000000002
2005-09-01,13.921,66.24,89.52,12922.656,15.37105,2.6690300000000002,15.341220000000002,201.20000000000002
2005-10-01,12.205,59.76,90.07,13142.642,15.52062,3.3104500000000003,16.86609,201.20000000000002
2005-11-01,12.587,57.32,91.57,13142.642,15.4442,2.99818,16.95102,213.308
2005-12-01,11.225,61.04,91.17,13142.642,13.360650000000001,3.02083,14.22495,213.308
2006-01-01,9.316,67.92,88.96,13324.204,14.07287,3.2527999999999997,14.28227,213.308
